column,family,dtype
parent_asin,key,str
year_month,key,str
is_review_volume_drop,key,int64
word_count_mean,T_basic,float64
sentence_count_mean,T_basic,float64
caps_ratio_mean,T_basic,float64
exclaim_count_mean,T_basic,float64
cause_topic_count_mean,T_cause,float64
consequence_topic_count_mean,T_consequence,float64
emotional_count_mean,T_narrative,float64
certainty_count_mean,T_narrative,float64
month_name_count_mean,T_narrative,float64
topic_durability_failure_rate_t,T_cause,float64
topic_durability_failure_rate_p3,T_cause,float64
topic_durability_failure_delta,T_cause,float64
topic_durability_failure_rate_t_shrunk,T_cause,float64
topic_build_quality_rate_t,T_cause,float64
topic_build_quality_rate_p3,T_cause,float64
topic_build_quality_delta,T_cause,float64
topic_build_quality_rate_t_shrunk,T_cause,float64
topic_incompatibility_rate_t,T_cause,float64
topic_incompatibility_rate_p3,T_cause,float64
topic_incompatibility_delta,T_cause,float64
topic_incompatibility_rate_t_shrunk,T_cause,float64
topic_performance_rate_t,T_cause,float64
topic_performance_rate_p3,T_cause,float64
topic_performance_delta,T_cause,float64
topic_performance_rate_t_shrunk,T_cause,float64
topic_leak_damage_rate_t,T_cause,float64
topic_leak_damage_rate_p3,T_cause,float64
topic_leak_damage_delta,T_cause,float64
topic_leak_damage_rate_t_shrunk,T_cause,float64
topic_water_taste_filter_rate_t,T_cause,float64
topic_water_taste_filter_rate_p3,T_cause,float64
topic_water_taste_filter_delta,T_cause,float64
topic_water_taste_filter_rate_t_shrunk,T_cause,float64
topic_shipping_packaging_rate_t,T_cause,float64
topic_shipping_packaging_rate_p3,T_cause,float64
topic_shipping_packaging_delta,T_cause,float64
topic_shipping_packaging_rate_t_shrunk,T_cause,float64
topic_return_intent_rate_t,T_consequence,float64
topic_return_intent_rate_p3,T_consequence,float64
topic_return_intent_delta,T_consequence,float64
topic_return_intent_rate_t_shrunk,T_consequence,float64
topic_return_blocked_rate_t,T_consequence,float64
topic_return_blocked_rate_p3,T_consequence,float64
topic_return_blocked_delta,T_consequence,float64
topic_return_blocked_rate_t_shrunk,T_consequence,float64
topic_refund_warranty_cs_rate_t,T_consequence,float64
topic_refund_warranty_cs_rate_p3,T_consequence,float64
topic_refund_warranty_cs_delta,T_consequence,float64
topic_refund_warranty_cs_rate_t_shrunk,T_consequence,float64
topic_misrepresentation_rate_t,T_consequence,float64
topic_misrepresentation_rate_p3,T_consequence,float64
topic_misrepresentation_delta,T_consequence,float64
topic_misrepresentation_rate_t_shrunk,T_consequence,float64
topic_purchase_warning_rate_t,T_consequence,float64
topic_purchase_warning_rate_p3,T_consequence,float64
topic_purchase_warning_delta,T_consequence,float64
topic_purchase_warning_rate_t_shrunk,T_consequence,float64
any_cause_topic_rate_t,T_cause,float64
any_cause_topic_rate_p3,T_cause,float64
any_cause_topic_delta,T_cause,float64
any_cause_topic_rate_t_shrunk,T_cause,float64
any_consequence_topic_rate_t,T_consequence,float64
any_consequence_topic_rate_p3,T_consequence,float64
any_consequence_topic_delta,T_consequence,float64
any_consequence_topic_rate_t_shrunk,T_consequence,float64
cooc_durability_return_rate_t,T_cooc,float64
cooc_durability_return_rate_p3,T_cooc,float64
cooc_durability_return_delta,T_cooc,float64
cooc_durability_return_rate_t_shrunk,T_cooc,float64
cooc_durability_blocked_rate_t,T_cooc,float64
cooc_durability_blocked_rate_p3,T_cooc,float64
cooc_durability_blocked_delta,T_cooc,float64
cooc_durability_blocked_rate_t_shrunk,T_cooc,float64
cooc_shipping_return_rate_t,T_cooc,float64
cooc_shipping_return_rate_p3,T_cooc,float64
cooc_shipping_return_delta,T_cooc,float64
cooc_shipping_return_rate_t_shrunk,T_cooc,float64
cooc_incompat_return_rate_t,T_cooc,float64
cooc_incompat_return_rate_p3,T_cooc,float64
cooc_incompat_return_delta,T_cooc,float64
cooc_incompat_return_rate_t_shrunk,T_cooc,float64
time_narrative_flag_rate_t,T_narrative,float64
time_narrative_flag_rate_p3,T_narrative,float64
time_narrative_flag_delta,T_narrative,float64
time_narrative_flag_rate_t_shrunk,T_narrative,float64
early_failure_flag_rate_t,T_narrative,float64
early_failure_flag_rate_p3,T_narrative,float64
early_failure_flag_delta,T_narrative,float64
early_failure_flag_rate_t_shrunk,T_narrative,float64
emotional_flag_rate_t,T_narrative,float64
emotional_flag_rate_p3,T_narrative,float64
emotional_flag_delta,T_narrative,float64
emotional_flag_rate_t_shrunk,T_narrative,float64
comparative_flag_rate_t,T_narrative,float64
comparative_flag_rate_p3,T_narrative,float64
comparative_flag_delta,T_narrative,float64
comparative_flag_rate_t_shrunk,T_narrative,float64
auto_title_flag_rate_t,T_basic,float64
auto_title_flag_rate_p3,T_basic,float64
auto_title_flag_delta,T_basic,float64
auto_title_flag_rate_t_shrunk,T_basic,float64
is_low_rating_rate_t,X_duplicate_of_structured,float64
is_low_rating_rate_p3,X_duplicate_of_structured,float64
is_low_rating_delta,X_duplicate_of_structured,float64
is_low_rating_rate_t_shrunk,X_duplicate_of_structured,float64
n_reviews_t,T_reliability,int64
n_reviews_p3,T_reliability,float64
text_reliability,T_reliability,float64
low_volume_t,T_reliability,int64
ttf_median_days,T_narrative,float64
n_ttf_reviews,T_narrative,int64
has_text_t,T_reliability,int64
has_text_p3,T_reliability,int64
split,key,str
