feature,importance
caps_ratio_mean,234
comparative_flag_rate_p3,199
comparative_flag_delta,185
any_cause_topic_rate_p3,183
time_narrative_flag_delta,174
word_count_mean,172
time_narrative_flag_rate_p3,170
exclaim_count_mean,167
topic_incompatibility_rate_p3,153
certainty_count_mean,148
sentence_count_mean,147
topic_incompatibility_delta,136
topic_performance_rate_p3,135
topic_build_quality_rate_p3,134
any_consequence_topic_rate_p3,128
emotional_flag_delta,124
topic_durability_failure_delta,123
any_cause_topic_delta,122
text_reliability,119
time_narrative_flag_rate_t_shrunk,118
comparative_flag_rate_t_shrunk,117
topic_refund_warranty_cs_rate_p3,108
topic_performance_delta,106
topic_durability_failure_rate_p3,104
emotional_flag_rate_p3,101
topic_leak_damage_delta,99
any_consequence_topic_delta,95
topic_purchase_warning_delta,95
topic_water_taste_filter_rate_p3,94
topic_purchase_warning_rate_p3,93
topic_leak_damage_rate_p3,89
comparative_flag_rate_t,89
topic_refund_warranty_cs_delta,88
any_cause_topic_rate_t_shrunk,88
topic_refund_warranty_cs_rate_t_shrunk,85
topic_water_taste_filter_rate_t_shrunk,82
topic_durability_failure_rate_t_shrunk,82
topic_build_quality_delta,77
topic_performance_rate_t_shrunk,77
topic_incompatibility_rate_t_shrunk,76
topic_water_taste_filter_delta,76
topic_build_quality_rate_t_shrunk,76
topic_return_intent_delta,73
topic_shipping_packaging_rate_t_shrunk,72
topic_return_blocked_delta,71
topic_misrepresentation_rate_p3,70
cause_topic_count_mean,70
any_consequence_topic_rate_t_shrunk,69
topic_leak_damage_rate_t_shrunk,65
topic_purchase_warning_rate_t_shrunk,63
topic_misrepresentation_delta,61
emotional_count_mean,61
topic_misrepresentation_rate_t_shrunk,60
topic_return_intent_rate_t_shrunk,57
topic_return_blocked_rate_t_shrunk,56
early_failure_flag_delta,55
emotional_flag_rate_t_shrunk,54
time_narrative_flag_rate_t,50
topic_return_blocked_rate_p3,46
early_failure_flag_rate_t_shrunk,46
consequence_topic_count_mean,45
month_name_count_mean,45
topic_purchase_warning_rate_t,43
topic_durability_failure_rate_t,40
topic_incompatibility_rate_t,39
any_cause_topic_rate_t,38
topic_performance_rate_t,37
cooc_durability_blocked_rate_t_shrunk,35
topic_shipping_packaging_delta,33
topic_return_intent_rate_p3,32
cooc_incompat_return_rate_t_shrunk,31
any_consequence_topic_rate_t,28
emotional_flag_rate_t,28
ttf_median_days,28
early_failure_flag_rate_p3,27
cooc_incompat_return_delta,27
cooc_durability_return_rate_p3,26
cooc_incompat_return_rate_p3,26
topic_build_quality_rate_t,22
topic_refund_warranty_cs_rate_t,22
topic_return_intent_rate_t,19
topic_shipping_packaging_rate_p3,19
topic_shipping_packaging_rate_t,17
cooc_durability_return_delta,17
topic_water_taste_filter_rate_t,15
topic_misrepresentation_rate_t,13
cooc_durability_blocked_delta,12
topic_leak_damage_rate_t,12
cooc_shipping_return_rate_t_shrunk,10
cooc_durability_return_rate_t_shrunk,10
topic_return_blocked_rate_t,10
cooc_durability_blocked_rate_p3,9
early_failure_flag_rate_t,5
cooc_shipping_return_rate_p3,3
cooc_durability_blocked_rate_t,3
n_ttf_reviews,3
cooc_incompat_return_rate_t,1
cooc_shipping_return_delta,1
cooc_shipping_return_rate_t,1
cooc_durability_return_rate_t,1
has_text_t,0
has_text_p3,0
