fold,core_train_end,inner_period,valid_period,core_rows,inner_rows,valid_rows,best_raw_context_weight,structured_pr_auc,raw_context_pr_auc,late_fusion_pr_auc,fusion_minus_structured,structured_roc_auc,late_fusion_roc_auc
2019,2017-12,2018-01~2018-12,2019-01~2019-12,5029,2796,3540,0.8,0.2415871413812978,0.21137968944992658,0.23002617379832346,-0.01156096758297434,0.6681186489017977,0.6788818015490105
2020,2018-12,2019-01~2019-12,2020-01~2020-12,7825,3540,4472,0.30000000000000004,0.23352012168889963,0.22588311227516825,0.23779983169140556,0.004279710002505932,0.6657848675057223,0.6796423220853717
2021,2019-12,2020-01~2020-12,2021-01~2021-12,11365,4472,4769,0.1,0.314057348818765,0.23341960597987144,0.31265654111531144,-0.001400807703453577,0.7034289988680638,0.7048730225173567
2022_01_08,2020-12,2021-01~2021-12,2022-01~2022-08,15837,4769,2538,0.1,0.26378683355013044,0.2132508318059947,0.2655797297842605,0.001792896234130037,0.7294230676850653,0.7333198827881059
