year,rows,positives,positive_rate
2016,2396,290,0.12103505843071787
2017,2633,402,0.15267755412077477
2018,2796,331,0.11838340486409156
2019,3540,433,0.12231638418079097
2020,4472,650,0.14534883720930233
2021,4769,613,0.12853847766827428
2022,3970,436,0.10982367758186398
2023,739,95,0.12855209742895804
