fold,train_rows,eval_rows,eval_positive_rate,pr_auc,roc_auc
2019,7825,3540,0.11327683615819209,0.23621065772797883,0.6820993073226458
2020,11365,4472,0.13528622540250448,0.2691764744362161,0.7045814659750762
2021,15837,4769,0.12119941287481652,0.32783098768469443,0.7196018160516975
2022_01_08,20606,2538,0.08865248226950355,0.3017445188972138,0.7587452562809243
