feature,importance
review_count,511
history_12m_review_count,404
history_12m_mean_helpful_vote,345
history_3m_review_count,324
past_3m_review_count,309
mean_helpful_vote,297
history_1m_review_count,274
history_3m_mean_helpful_vote,270
history_3m_vs_6m_low_rating_ratio_delta,268
history_6m_mean_helpful_vote,263
history_1m_mean_helpful_vote,246
avg_rating,231
history_12m_verified_purchase_ratio,227
history_3m_vs_12m_low_rating_ratio_delta,219
history_6m_review_count,210
history_12m_low_rating_ratio,186
history_6m_verified_purchase_ratio,180
history_12m_low_rating_count,179
history_12m_avg_rating,163
history_6m_avg_rating,158
history_3m_verified_purchase_ratio,155
history_3m_avg_rating,152
history_6m_low_rating_ratio,148
history_6m_low_rating_count,138
history_1m_avg_rating,137
history_3m_low_rating_ratio,127
low_rating_ratio,125
history_3m_low_rating_count,114
history_1m_verified_purchase_ratio,92
verified_purchase_ratio,91
history_1m_low_rating_ratio,79
low_rating_count,74
history_12m_active_month_count,64
history_1m_low_rating_count,57
history_6m_text_available_ratio,39
history_6m_active_month_count,37
history_3m_text_available_ratio,26
history_12m_text_available_ratio,24
text_available_ratio,17
history_12m_coverage_ratio,17
history_1m_text_available_ratio,11
history_6m_coverage_ratio,9
history_3m_active_month_count,2
history_3m_coverage_ratio,1
history_1m_coverage_ratio,0
history_1m_active_month_count,0
