,next_low_rating_ratio
count,83509.0
mean,0.148084718690029
std,0.169997637625407
min,0.0
25%,0.0
50%,0.1111111111111111
75%,0.20224719101123595
80%,0.25
90%,0.4
95%,0.5
max,1.0
