absolute_next_low_rating_ratio,minimum_increase_vs_past_3m,eligible_row_count,risk_count,risk_ratio
0.3,0.1,78473,8423,0.1073
0.3,0.15,78473,7059,0.09
0.3,0.2,78473,5392,0.0687
